"ID","MAIN_ENGINE_MANUFACTURER","NUMBER_OF_PROPELLORS","MAIN_ENGINE_CAPACITY","TYPE_OF_FUEL","BOW_THRUSTER","STERN_THRUSTER","SHIP_CATEGORY"
17492,"",,24500,"HFO","900 KW","","GEN CARGO"
17495,"",,2470,"MDO","","","TUG"
17496,"",,2470,"MDO","","","TUG"
17497,"",,5371,"HFO","","","BULK"
17498,"",,1999,"HFO","365PK","","GEN CARGO"
17499,"",,419,"","","","GEN CARGO"
17500,"",,882,"HFO","","","TUG"
17501,"",,34424,"HFO","2000 KW","","GEN CARGO"
17502,"",,34424,"HFO","2000KW","","GEN CARGO"
17503,"",,34424,"HFO","2000 KW","","GEN CARGO"
17504,"",,7061,"HFO","","","GEN CARGO"
17506,"",,3824,"HFO","400 KW","","GEN CARGO"
17507,"",,3824,"HFO","400 KW","","GEN CARGO"
17508,"",,3824,"HFO","400 KW","","GEN CARGO"
17510,"",,3824,"HFO","400 KW","","GEN CARGO"
17511,"",,8826,"HFO","","","BULK"
17512,"",,5296,"HFO","","","BULK"
17513,"",,8826,"HFO","","","BULK"
17514,"",,7855,"HFO","","","GEN CARGO"
17515,"",,7061,"HFO","","","GEN CARGO"
17944,"",,21256,"HFO","","","TANKER"
17946,"",,40529,"HFO","2070KW","","GEN CARGO"
17947,"",,40529,"HFO","2070KW","","GEN CARGO"
17948,"",,11473,"HFO","880 KW","","GEN CARGO"
17949,"",,11473,"HFO","880 KW","","GEN CARGO"
17950,"",,11473,"HFO","880 KW","","GEN CARGO"
17952,"",,6074,"HFO","","","BULK"
17953,"",,6074,"HFO","","","BULK"
17954,"",,8561,"HFO","","","BULK"
17955,"",,8561,"HFO","","","BULK"
17956,"",,7171,"HFO","","","BULK"
17958,"",,13320,"HFO","590 KW","","GEN CARGO"
17959,"",,13320,"HFO","590 KW","","GEN CARGO"
17960,"",,10224,"HFO","","","GEN CARGO"
17961,"",,10812,"HFO","","","BULK"
17962,"",,10819,"HFO","","","BULK"
17964,"",,8561,"HFO","","","BULK"
18592,"",,5980,"HFO","","","BULK"
18593,"",,5295,"HFO","","","BULK"
18594,"",,15174,"HFO","","","BULK"
18595,"",,2648,"HFO","","","TANKER"
18596,"",,2648,"HFO","","","TANKER"
18288,"",,8310,"HFO","","","TANKER"
18289,"",,8310,"HFO","","","TANKER"
