"ID","MAIN_ENGINE_MANUFACTURER","NUMBER_OF_PROPELLORS","MAIN_ENGINE_CAPACITY","TYPE_OF_FUEL","BOW_THRUSTER","STERN_THRUSTER","SHIP_CATEGORY"
3950,"",,33688,"HFO","930 KW","","GEN CARGO"
3951,"",,23390,"HFO","JA","","GEN CARGO"
3952,"",,33541,"HFO","2X","","GEN CARGO"
3953,"",,33541,"HFO","2X736 KW","","PASSENGER"
3956,"",,2942,"HFO","400 PK","","TANKER"
3957,"",,2942,"HFO","260 KW","","TANKER"
3958,"",,1434,"HFO","","","GEN CARGO"
3959,"",,2200,"HFO","","","GEN CARGO"
3960,"",,5443,"HFO","","","BULK"
3961,"",,5443,"HFO","","","BULK"
3962,"",,5443,"HFO","","","BULK"
3963,"",,5443,"HFO","","","BULK"
3964,"",,5443,"HFO","","","BULK"
3965,"",,5443,"HFO","","","BULK"
3968,"",,1471,"HFO","147 KW","","GEN CARGO"
3969,"",,1455,"HFO","","","GEN CARGO"
3970,"",,2353,"","","","TANKER"
3972,"",,1919,"","","","GEN CARGO"
3974,"",,1471,"HFO","250","","GEN CARGO"
3975,"",,0,"","","","PONTOON"
3976,"",,17652,"","","","TANKER"
3977,"",,29422,"HFO","","","TANKER"
3978,"",,1471,"HFO","130 PK","","GEN CARGO"
3979,"",,2942,"HFO","","","GEN CARGO"
3980,"",,5884,"HFO","470 KW","","TANKER"
3981,"",,5884,"HFO","470 KW","","TANKER"
3982,"",,1471,"HFO","JA","","TANKER"
3983,"",,2934,"HFO","500 PK","","GEN CARGO"
3984,"",,15299,"HFO","2X","","PASSENGER"
3985,"",,0,"HFO","","","PONTOON"
3986,"",,10444,"HFO","","","BULK"
3987,"",,9194,"","","","GEN CARGO"
3989,"",,7282,"HFO","","","GEN CARGO"
3990,"",,4486,"HFO","","","GEN CARGO"
3991,"",,1544,"HFO","","","GEN CARGO"
3992,"",,2206,"HFO","","","TUG"
3993,"",,0,"","","","TANKER"
3994,"",,4928,"","","","PASSENGER"
3995,"",,13092,"HFO","JA","","PASSENGER"
3996,"",,23979,"","","","BULK"
3998,"",,3677,"HFO","","","BULK"
3999,"",,8948,"","","","BULK"
4000,"",,1941,"HFO","","","GEN CARGO"
4264,"",,12798,"","","","TANKER"
4265,"",,4486,"HFO","","","GEN CARGO"
4266,"",,0,"HFO","","","TANKER"
4267,"",,26116,"HFO","","","TANKER"
4268,"",,26117,"HFO","","","TANKER"
4270,"",,1099,"HFO","","","GEN CARGO"
4271,"",,1176,"HFO","","","GEN CARGO"
4273,"",,8500,"HFO","","","GEN CARGO"
4274,"",,7282,"","","","GEN CARGO"
4275,"",,7282,"","","","GEN CARGO"
4276,"",,3928,"HFO","JA","","FISHING"
4277,"",,8496,"","800 PK","","BULK"
4278,"",,8820,"HFO","","","BULK"
4279,"",,8474,"","","","BULK"
4280,"",,2206,"HFO","250 PK","","GEN CARGO"
4281,"",,0,"HFO","","","PONTOON"
4282,"",,2942,"HFO","","","TANKER"
4285,"",,7282,"HFO","","","GEN CARGO"
4286,"",,10739,"HFO","","","TANKER"
4287,"",,1544,"HFO","","","GEN CARGO"
4288,"",,4413,"HFO","","","BULK"
4289,"",,4413,"HFO","","","BULK"
4290,"",,1471,"HFO","","","GEN CARGO"
4291,"",,2942,"HFO","","","FISHING"
4292,"",,2942,"HFO","","","FISHING"
4293,"",,4413,"","JA","","GEN CARGO"
4295,"",,18389,"HFO","","","TANKER"
4297,"",,10739,"HFO","","","TANKER"
4298,"",,18401,"","","","TANKER"
4299,"",,2060,"HFO","300KW","","GEN CARGO"
4300,"",,4266,"","450 KW","","TANKER"
4301,"",,4266,"HFO","440 KW","","TANKER"
4302,"",,7649,"HFO","590 KW","","GEN CARGO"
4303,"",,5884,"HFO","","","TANKER"
4305,"",,0,"HFO","","","TANKER"
4307,"",,1919,"HFO","300   PK","","TANKER"
4308,"",,1919,"HFO","300","","TANKER"
4309,"",,8831,"HFO","","","TANKER"
4310,"",,8826,"HFO","","","TANKER"
4311,"",,6620,"HFO","","","BULK"
4312,"",,6620,"HFO","","","BULK"
4313,"",,6620,"HFO","","","BULK"
2102,"",,969,"HFO","","","TANKER"
2103,"",,956,"HFO","","","TUG"
2104,"",,14789,"HFO","","","BULK"
2105,"",,588,"HFO","235 KW","","GEN CARGO"
2106,"",,559,"HFO","","","GEN CARGO"
2107,"",,2208,"HFO","","","GEN CARGO"
2108,"",,4707,"HFO","","","PASSENGER"
2109,"",,2133,"HFO","","","GEN CARGO"
2110,"",,367,"HFO","","","GEN CARGO"
2112,"",,294,"HFO","","","GEN CARGO"
2113,"",,2206,"HFO","","","TUG"
2114,"",,676,"","","","TUG"
2115,"",,582,"HFO","","","TUG"
2116,"",,367,"HFO","","","GEN CARGO"
2117,"",,662,"HFO","","","TANKER"
2118,"",,367,"HFO","","","GEN CARGO"
2119,"",,588,"HFO","","","GEN CARGO"
2120,"",,220,"HFO","","","GEN CARGO"
2121,"",,470,"HFO","","","GEN CARGO"
2122,"",,2471,"HFO","300 PK","","OFFSHORE"
2123,"",,735,"","","","GEN CARGO"
2125,"",,809,"HFO","","","GEN CARGO"
2127,"",,15446,"HFO","","","PASSENGER"
2128,"",,776,"HFO","","","TUG"
2129,"",,776,"HFO","","","TUG"
2130,"",,2206,"HFO","","","TUG"
2131,"",,10297,"HFO","","","PASSENGER"
2132,"",,,"","","","FISHING"
2133,"",,1471,"","","","TUG"
2134,"",,7473,"","","","GEN CARGO"
2135,"",,313,"","","","GEN CARGO"
2137,"",,367,"HFO","","","GEN CARGO"
2138,"",,1863,"","","","GEN CARGO"
2139,"",,970,"","","","TANKER"
2140,"",,662,"HFO","","","GEN CARGO"
2141,"",,485,"","","","GEN CARGO"
2143,"",,220,"HFO","","","SALVAGE"
2144,"",,2240,"HFO","JA","","TUG"
2145,"",,1015,"HFO","","","GEN CARGO"
2146,"",,985,"HFO","","","OTHER"
2148,"",,1765,"HFO","350 PK","","TANKER"
2149,"",,809,"","","","GEN CARGO"
2150,"",,562,"HFO","","","GEN CARGO"
2151,"",,360,"HFO","","","GEN CARGO"
2152,"",,367,"HFO","","","GEN CARGO"
3201,"",,6046,"HFO","","","TANKER"
3203,"",,1471,"HFO","175","","GEN CARGO"
3204,"",,1838,"HFO","","","GEN CARGO"
2861,"",,1958,"HFO","","","GEN CARGO"
2862,"",,294,"HFO","","","TANKER"
2863,"",,2133,"","","","GEN CARGO"
2864,"",,16035,"HFO","","","PASSENGER"
2865,"",,970,"HFO","JA","","TUG"
2866,"",,2250,"HFO","","","GEN CARGO"
2867,"",,735,"HFO","","","GEN CARGO"
2868,"",,2074,"HFO","","","TANKER"
2869,"",,8238,"","","","BULK"
2870,"",,23537,"HFO","","","GEN CARGO"
2872,"",,2942,"HFO","","","GEN CARGO"
2873,"",,4413,"HFO","460 PK","","GEN CARGO"
2875,"",,1471,"HFO","","","GEN CARGO"
2876,"",,882,"HFO","100 KW","","GEN CARGO"
2877,"",,1471,"HFO","JA","","GEN CARGO"
2878,"",,1213,"HFO","","","TANKER"
2879,"",,1134,"HFO","","","GEN CARGO"
2880,"",,1030,"","","","GEN CARGO"
2882,"",,5884,"HFO","J","","PASSENGER"
2883,"",,919,"HFO","","","GEN CARGO"
2884,"",,1397,"HFO","","","TANKER"
2885,"",,1765,"HFO","","","GEN CARGO"
2886,"",,1103,"HFO","","","TANKER"
2887,"",,1838,"HFO","","","GEN CARGO"
2889,"",,970,"HFO","","","GEN CARGO"
2890,"",,970,"","","","GEN CARGO"
2892,"",,8532,"HFO","","","BULK"
2893,"",,9047,"HFO","","","TANKER"
106762,"",,4920,"MDO","2X75 KW","","WORKSHIP"
106763,"",,33670,"HFO","JA","","GEN CARGO"
2894,"",,3520,"HFO","184 KW","","TUG"
2895,"",,970,"HFO","","","TANKER"
2896,"",,3236,"HFO","JA","","GEN CARGO"
2897,"",,1103,"HFO","JA","","TANKER"
2898,"",,13019,"HFO","","","TANKER"
2899,"",,485,"","","","GEN CARGO"
2900,"",,1838,"HFO","","","GEN CARGO"
2901,"",,7723,"","","","GEN CARGO"
2904,"",,397,"","","","GEN CARGO"
2905,"",,493,"HFO","","","FISHING"
4001,"",,10150,"HFO","","","BULK"
4003,"",,28390,"","","","TANKER"
4004,"",,2008,"HFO","200 PK","","TANKER"
4005,"",,1214,"","","","FISHING"
4006,"",,908,"HFO","","","WORKSHIP"
4008,"",,731,"HFO","","","GEN CARGO"
4009,"",,1768,"MDO","300 KW","300 KW","GEN CARGO"
4010,"",,297,"HFO","","","GEN CARGO"
4011,"",,1919,"HFO","","","GEN CARGO"
4012,"",,1471,"HFO","225 PK","","TANKER"
4013,"",,1471,"HFO","175 KW","","TANKER"
4015,"",,1103,"HFO","","","GEN CARGO"
4016,"",,3310,"HFO","","","GEN CARGO"
4017,"",,3310,"HFO","","","GEN CARGO"
4019,"",,7282,"HFO","","","BULK"
4020,"",,6215,"","","","BULK"
4021,"",,7282,"","","","BULK"
4022,"",,1213,"HFO","JA","","OFFSHORE"
4023,"",,23537,"HFO","","","GEN CARGO"
4024,"",,4119,"HFO","","","BULK"
4025,"",,3383,"","","","OFFSHORE"
4027,"",,8948,"HFO","","","GEN CARGO"
4028,"",,3883,"HFO","","","GEN CARGO"
4029,"",,912,"HFO","","","WORKSHIP"
4032,"",,1154,"HFO","","","GEN CARGO"
4033,"",,1103,"","","","GEN CARGO"
4034,"",,297,"HFO","","","GEN CARGO"
4035,"",,1051,"HFO","","","GEN CARGO"
4036,"",,1691,"HFO","","","GEN CARGO"
4037,"",,1157,"HFO","","","GEN CARGO"
4038,"",,1029,"HFO","","","GEN CARGO"
4039,"",,1158,"","","","GEN CARGO"
4040,"",,1765,"HFO","","","GEN CARGO"
4042,"",,1103,"HFO","","","GEN CARGO"
4043,"",,1368,"HFO","","","TUG"
4044,"",,5004,"HFO","","","TANKER"
4045,"",,5296,"","JA","","TUG"
4047,"",,5296,"HFO","JA","","TUG"
3714,"",,552,"MDO","","","OFFSHORE"
3715,"",,11033,"","","","GEN CARGO"
3716,"",,8826,"HFO","","","TANKER"
3718,"",,3310,"HFO","","","BULK"
4314,"",,6620,"HFO","","","BULK"
4315,"",,6620,"HFO","","","BULK"
4316,"",,5766,"HFO","","","GEN CARGO"
4317,"",,4413,"HFO","","","GEN CARGO"
4319,"",,27215,"HFO","JA","","GEN CARGO"
4321,"",,31629,"HFO","","","TANKER"
4492,"",,26480,"HFO","","","TANKER"
4494,"",,4192,"HFO","JA"," ","TUG"
4495,"",,1760,"HFO","","","GEN CARGO"
4496,"",,882,"HFO","","","GEN CARGO"
4497,"",,4781,"HFO","450 KW","","BULK"
4498,"",,4781,"HFO","450 PK","","BULK"
4499,"",,7282,"","900 PK","","GEN CARGO"
4500,"",,7282,"HFO","660 KW","","GEN CARGO"
4501,"",,7282,"HFO","900 KW","","GEN CARGO"
4503,"",,919,"HFO","","","GEN CARGO"
4504,"",,30099,"","","","BULK"
4506,"",,4531,"HFO","JA","","TUG"
4507,"",,1103,"","","","GEN CARGO"
4508,"",,5178,"HFO","","","TUG"
4509,"",,10297,"HFO","","","BULK"
4510,"",,10297,"HFO","","","BULK"
4511,"",,10297,"HFO","","","BULK"
4512,"",,10297,"","","","BULK"
4513,"",,5178,"HFO","JA","","OFFSHORE"
4516,"",,5884,"HFO","JA","","TUG"
4517,"",,5968,"HFO","JA","","TUG"
4518,"",,6575,"HFO","","","TANKER"
4519,"",,6575,"","","","TANKER"
4520,"",,6575,"","","","TANKER"
4521,"",,6575,"HFO","","","TANKER"
4522,"",,1760,"HFO","","","GEN CARGO"
4523,"",,1765,"HFO","","","GEN CARGO"
4524,"",,1474,"HFO","","","GEN CARGO"
4525,"",,1616,"HFO","","","TANKER"
4527,"",,1838,"HFO","","","GEN CARGO"
4528,"",,1864,"HFO","","","GEN CARGO"
4530,"",,17580,"","","","BULK"
4531,"",,17579,"","","","BULK"
4532,"",,8238,"","","","BULK"
4534,"",,5178,"HFO","JA","","TUG"
4535,"",,5884,"HFO","","","GEN CARGO"
4536,"",,1618,"HFO","100","","OFFSHORE"
2153,"",,882,"HFO","","","GEN CARGO"
2154,"",,2758,"","","","TANKER"
2155,"",,1986,"HFO","","","TUG"
2158,"",,588,"HFO","","","GEN CARGO"
2160,"",,275,"HFO","","","GEN CARGO"
2161,"",,882,"HFO","JA","","TUG"
2163,"",,397,"HFO","","","GEN CARGO"
2164,"",,1471,"HFO","","","FISHING"
2165,"",,5296,"","","","GEN CARGO"
2166,"",,1838,"","JA","","GEN CARGO"
2167,"",,312,"HFO","","","GEN CARGO"
2168,"",,456,"HFO","","","TANKER"
2170,"",,11401,"HFO","","","GEN CARGO"
2171,"",,216,"HFO","","","GEN CARGO"
2172,"",,1986,"HFO","YES","","TUG"
2173,"",,11401,"HFO","","","GEN CARGO"
2174,"",,735,"HFO","","","GEN CARGO"
2176,"",,313,"","","","YACHT"
2177,"",,970,"HFO","","","GEN CARGO"
2178,"",,897,"","","","GEN CARGO"
2179,"",,2552,"HFO","","","TUG"
2181,"",,2397,"HFO","588 KW","597 KW","OFFSHORE"
2182,"",,7061,"","J","","PASSENGER"
2183,"",,2206,"HFO","","","TUG"
2184,"",,2221,"HFO","JA","","DREDGING"
2186,"",,4227,"HFO","","","OFFSHORE"
2187,"",,1324,"HFO","","","GEN CARGO"
2188,"",,564,"HFO","","","GEN CARGO"
2189,"",,397,"HFO","","","GEN CARGO"
2190,"",,1103,"HFO","","","GEN CARGO"
2191,"",,662,"HFO","","","GEN CARGO"
2192,"",,970,"HFO","","","GEN CARGO"
2193,"",,404,"HFO","","","GEN CARGO"
2196,"",,691,"HFO","N","","GEN CARGO"
2197,"",,970,"HFO","","","BULK"
2198,"",,360,"HFO","130  KW","","GEN CARGO"
2199,"",,360,"HFO","","","GEN CARGO"
2200,"",,809,"","","","GEN CARGO"
2201,"",,220,"HFO","","","GEN CARGO"
2202,"",,478,"HFO","","","TANKER"
2203,"",,220,"HFO","","","GEN CARGO"
2204,"",,14159,"HFO","","","OFFSHORE"
2205,"",,588,"HFO","","","GEN CARGO"
2206,"",,1213,"HFO","","","TUG"
2207,"",,1214,"MDO","","","TUG"
2906,"",,529,"HFO","","","GEN CARGO"
2907,"",,559,"HFO","","","FISHING"
2908,"",,3604,"HFO","","","GEN CARGO"
2909,"",,1298,"HFO","240 PK","","GEN CARGO"
2910,"",,2942,"HFO","","","GEN CARGO"
2911,"",,1765,"HFO","250 PK","","GEN CARGO"
2912,"",,1740,"HFO","","","GEN CARGO"
2913,"",,1765,"","","","GEN CARGO"
2914,"",,1765,"HFO","","","DREDGING"
2915,"",,4413,"HFO","JA","","GEN CARGO"
2916,"",,1134,"HFO","","","GEN CARGO"
2917,"",,1324,"","","","TUG"
2918,"",,18388,"HFO","","","TANKER"
2920,"",,739,"HFO","","","GEN CARGO"
2921,"",,662,"HFO","","","GEN CARGO"
2922,"",,662,"","235","","GEN CARGO"
2924,"",,1213,"HFO","","","GEN CARGO"
2926,"",,1471,"HFO","","","GEN CARGO"
2927,"",,1838,"HFO","","","GEN CARGO"
2928,"",,2147,"HFO","350","350","TANKER"
2929,"",,8458,"HFO","","","TANKER"
2930,"",,826,"HFO","","","GEN CARGO"
2931,"",,2074,"HFO","","","TANKER"
2932,"",,4045,"HFO","","","GEN CARGO"
2933,"",,809,"HFO","","","GEN CARGO"
2934,"",,6914,"HFO","","","GEN CARGO"
2936,"",,970,"","","","GEN CARGO"
2938,"",,6914,"HFO","","","BULK"
2939,"",,772,"HFO","","","TANKER"
2940,"",,8208,"","","","PASSENGER"
2941,"",,600,"HFO","150 PK","","GEN CARGO"
2942,"",,1320,"HFO","","","GEN CARGO"
2943,"",,1077,"","","","GEN CARGO"
106811,"",,17690,"HFO","","","BULK"
106812,"",,15806,"HFO","900 KW","","GEN CARGO"
106861,"",,68520,"HFO","JA","","GEN CARGO"
2944,"",,6179,"","","","GEN CARGO"
2946,"",,4045,"HFO","","","GEN CARGO"
2947,"",,873,"","","","GEN CARGO"
2948,"",,1765,"HFO","290 PK","","GEN CARGO"
2950,"",,1471,"HFO","600 PK","","TUG"
2951,"",,2206,"HFO","200 PK","","TUG"
2952,"",,2795,"","","","GEN CARGO"
2953,"",,1765,"HFO","181 KW","","GEN CARGO"
3719,"",,6300,"HFO","","","GEN CARGO"
3720,"",,6301,"","","","GEN CARGO"
3721,"",,6301,"","","","GEN CARGO"
3722,"",,6300,"HFO","","","GEN CARGO"
3723,"",,5517,"","","","GEN CARGO"
3724,"",,5516,"HFO","","","GEN CARGO"
3725,"",,7282,"","","","BULK"
3726,"",,8500,"","","","BULK"
3729,"",,10297,"HFO","","","TANKER"
3730,"",,10297,"HFO","","","TANKER"
3731,"",,10297,"HFO","","","TANKER"
3732,"",,344,"HFO","","","GEN CARGO"
3733,"",,344,"HFO","","","GEN CARGO"
3734,"",,1765,"HFO","","","TUG"
3735,"",,4531,"HFO","JA","","TUG"
3736,"",,1971,"HFO","","","TANKER"
3737,"",,2339,"HFO","","","TUG"
3738,"",,2339,"HFO","","","TUG"
3739,"",,2046,"HFO","","","GEN CARGO"
3741,"",,8532,"HFO","","","BULK"
3743,"",,18241,"HFO","","","BULK"
3744,"",,4119,"HFO","","","TUG"
3745,"",,4119,"HFO","JA","","TUG"
3746,"",,2088,"","","","TANKER"
3747,"",,13828,"HFO","","","GEN CARGO"
3748,"",,17064,"HFO","","","TUG"
3749,"",,9599,"","","","TANKER"
3751,"",,14711,"","","","BULK"
3752,"",,8948,"","","","TANKER"
3753,"",,8826,"HFO","","","TANKER"
3755,"",,10739,"","","","TANKER"
3756,"",,10439,"HFO","","","TANKER"
3757,"",,10439,"HFO","","","TANKER"
3758,"",,536,"HFO","","","GEN CARGO"
3759,"",,275,"HFO","","","GEN CARGO"
3761,"",,3089,"HFO","JA","","TUG"
3762,"",,2206,"HFO","","","GEN CARGO"
3763,"",,1691,"HFO","JA","","TUG"
3764,"",,2559,"HFO","320 KW","","SALVAGE"
3765,"",,6620,"HFO","","","TANKER"
3766,"",,11032,"HFO","","","GEN CARGO"
3767,"",,9635,"","","","BULK"
3768,"",,919,"HFO","","","GEN CARGO"
4537,"",,7796,"HFO","","","TANKER"
4538,"",,7796,"HFO","","","TANKER"
4539,"",,7796,"HFO","","","TANKER"
4541,"",,7796,"HFO","","","TANKER"
4542,"",,7796,"HFO","","","TANKER"
4543,"",,8532,"HFO"," "," ","TANKER"
4544,"",,734,"HFO","","","GEN CARGO"
4545,"",,2648,"HFO","","","BULK"
4546,"",,7282,"HFO","","","GEN CARGO"
4547,"",,7282,"","","","GEN CARGO"
4548,"",,7282,"HFO","","","GEN CARGO"
4772,"",,8826,"","","","TANKER"
4773,"",,17246,"HFO","","","TANKER"
4774,"",,17246,"HFO","","","TANKER"
4775,"",,8238,"","","","GEN CARGO"
4776,"",,1471,"HFO","","","GEN CARGO"
4778,"",,5737,"HFO","N","","GEN CARGO"
4779,"",,3677,"HFO","","","GEN CARGO"
4781,"",,3677,"HFO","","","GEN CARGO"
4782,"",,3677,"HFO","","","GEN CARGO"
4783,"",,8826,"HFO","","","BULK"
4784,"",,8827,"","","","BULK"
4785,"",,8826,"HFO","","","BULK"
4786,"",,13607,"HFO","","","BULK"
4787,"",,17064,"HFO","","","TANKER"
4788,"",,17064,"HFO","","","TANKER"
4789,"",,4413,"HFO","","","GEN CARGO"
4791,"",,2118,"HFO","300 PK","","TANKER"
4792,"",,0,"","","","SALVAGE"
4793,"",,22066,"HFO","","","GEN CARGO"
4794,"",,3089,"HFO","590 PK","580 PK","TUG"
4796,"",,970,"HFO","","","GEN CARGO"
4797,"",,8532,"HFO","","","BULK"
4798,"",,8532,"HFO","","","BULK"
4799,"",,5296,"HFO","350 PK","","TUG"
4801,"",,5296,"HFO","JA","","TUG"
4802,"",,1618,"HFO","","","GEN CARGO"
4803,"",,2795,"HFO","","","TANKER"
4804,"",,9635,"","","","BULK"
4805,"",,9635,"HFO","","","BULK"
4806,"",,9635,"HFO","","","BULK"
4807,"",,840,"HFO","","","GEN CARGO"
4811,"",,1134,"HFO","","","GEN CARGO"
2210,"",,772,"HFO","","","TUG"
2211,"",,587,"HFO","200 KW","","GEN CARGO"
2212,"",,1488,"HFO","","","TUG"
1664,"",,2759,"","125 KW","","YACHT"
1665,"",,2984,"","160 KW","","YACHT"
1666,"",,2984,"","JA","","YACHT"
1668,"",,2999,"HFO","JA","","YACHT"
1669,"",,4000,"HFO","JA","","YACHT"
1670,"",,2984,"HFO","JA","","YACHT"
1671,"",,6984,"HFO","300 KW","250 KW","YACHT"
1672,"",,1576,"HFO","JA","","YACHT"
1673,"",,8640,"HFO","200 KW","2X75 KW","YACHT"
1675,"",,7200,"HFO","300 KW","250 KW","YACHT"
1676,"",,5440,"HFO","250 KW","","YACHT"
1677,"",,1576,"HFO","65 KW","","YACHT"
1678,"",,1576,"HFO","JA","","YACHT"
1679,"",,2982,"HFO","200 KW","200 KW","YACHT"
1680,"",,1576,"HFO","65 KW","","YACHT"
1681,"",,4000,"HFO","JA","","YACHT"
1685,"",,2800,"HFO","200 KW","","YACHT"
1686,"",,7000,"HFO","300 KW","250 KW","YACHT"
1687,"",,1576,"MDO","JA","","YACHT"
1688,"",,,"","JA","","YACHT"
1690,"",,1600,"MDO","JA","","YACHT"
1928,"",,1765,"HFO","","","WORKSHIP"
1929,"",,9709,"HFO","","","PASSENGER"
1930,"",,9709,"HFO","JA","","PASSENGER"
1931,"",,6767,"HFO","","","PASSENGER"
1932,"",,314,"HFO","","","WORKSHIP"
1933,"",,735,"HFO","","","TUG"
1934,"",,441,"HFO","","","GEN CARGO"
1935,"",,1176,"","","","GEN CARGO"
1936,"",,2177,"HFO","","","PASSENGER"
1937,"",,367,"HFO","","","GEN CARGO"
1938,"",,566,"HFO","","","GEN CARGO"
1940,"",,294,"","","","TUG"
1941,"",,1000,"HFO","","","YACHT"
1942,"",,28319,"HFO","2600 PK","","PASSENGER"
1943,"",,4413,"","735 KW","","DREDGING"
1945,"",,471,"HFO","","","GEN CARGO"
1946,"",,250,"HFO","","","GEN CARGO"
1947,"",,294,"","","","SAIL"
1948,"",,183,"HFO","","","GEN CARGO"
2955,"",,2133,"HFO","","","GEN CARGO"
2956,"",,735,"HFO","200 PK","","GEN CARGO"
2957,"",,9926,"HFO","","","BULK"
2958,"",,662,"HFO","","","GEN CARGO"
2959,"",,1493,"HFO","","","PASSENGER"
2960,"",,1185,"","JA","","OFFSHORE"
2962,"",,5296,"HFO","","","GEN CARGO"
2963,"",,852,"HFO","","","FISHING"
2964,"",,853,"HFO","","","GEN CARGO"
2966,"",,5059,"","2X","2X","SALVAGE"
2967,"",,1147,"","","","GEN CARGO"
2968,"",,1471,"HFO","","","GEN CARGO"
2969,"",,1765,"HFO","","","TANKER"
2970,"",,2147,"HFO","","","TANKER"
2972,"",,739,"HFO","","","GEN CARGO"
2973,"",,1066,"HFO","220 PK","","GEN CARGO"
2974,"",,662,"HFO","","","GEN CARGO"
2975,"",,2353,"HFO","","","TANKER"
2976,"",,2133,"HFO","","","GEN CARGO"
2977,"",,970,"HFO","","","GEN CARGO"
2978,"",,404,"HFO","","","GEN CARGO"
2979,"",,9856,"HFO","880PK","","PASSENGER"
2980,"",,662,"HFO","","","GEN CARGO"
2981,"",,5963,"HFO","","","BULK"
2982,"",,824,"HFO","JA","JA","OFFSHORE"
2983,"",,12798,"HFO","","","GEN CARGO"
2984,"",,4229,"HFO","JA","","TUG"
2986,"",,10152,"","","","BULK"
2988,"",,1250,"HFO","","","BULK"
2989,"",,2133,"HFO","","","TANKER"
2990,"",,254,"","","","GEN CARGO"
2991,"",,6546,"HFO","","","GEN CARGO"
2992,"",,2942,"HFO","","","GEN CARGO"
2993,"",,1471,"HFO","","","GEN CARGO"
2994,"",,588,"","","","GEN CARGO"
106911,"",,24040,"HFO","2X2200 KW","","OFFSHORE"
106912,"",,5440,"MDO","90 KW","","YACHT"
106913,"",,18660,"HFO","","","TANKER"
2527,"",,809,"HFO","","","TANKER"
2528,"",,1295,"HFO","300 PK","","TANKER"
2529,"",,809,"HFO","","","GEN CARGO"
2530,"",,4413,"HFO","","","TUG"
2531,"",,1103,"HFO","","","GEN CARGO"
107411,"",,47430,"HFO","JA","","GEN CARGO"
107611,"",,10500,"HFO","","","BULK"
3301,"",,1471,"HFO","300 PK","","GEN CARGO"
3302,"",,1324,"HFO","300 PK","","TANKER"
3305,"",,15299,"HFO","","","TANKER"
3306,"",,6620,"","","","GEN CARGO"
3307,"",,1103,"HFO","","","GEN CARGO"
3308,"",,21780,"","","","GEN CARGO"
3309,"",,14000,"HFO","2X600 PK","","PASSENGER"
3310,"",,1721,"HFO","","","GEN CARGO"
3311,"",,20963,"HFO","","","GEN CARGO"
3313,"",,882,"HFO","","","TANKER"
3314,"",,11695,"HFO","","","GEN CARGO"
3315,"",,1600,"HFO","187 KW","","GEN CARGO"
3316,"",,794,"HFO","","","GEN CARGO"
3317,"",,1471,"","","","OFFSHORE"
3318,"",,8948,"","","","BULK"
3319,"",,870,"MDO","250 PK","","TANKER"
3320,"",,1912,"HFO","250 PK","","GEN CARGO"
3321,"",,1324,"HFO","","","GEN CARGO"
3322,"",,1471,"HFO","2X560KW","2X560KW","DREDGING"
3323,"",,1279,"HFO","","","TUG"
3325,"",,735,"HFO","","","GEN CARGO"
3327,"",,8495,"HFO","","","BULK"
3328,"",,1618,"HFO","JA","","YACHT"
3329,"",,1279,"HFO","85 PK","","GEN CARGO"
3330,"",,2059,"HFO","","","TUG"
3331,"",,2831,"HFO","JA","","TUG"
3332,"",,1412,"HFO","","","GEN CARGO"
3333,"",,1471,"HFO","","","GEN CARGO"
3334,"",,4486,"HFO","","","GEN CARGO"
3336,"",,1360,"HFO","","","GEN CARGO"
3337,"",,970,"HFO","","","GEN CARGO"
3338,"",,735,"HFO","JA","","TANKER"
3340,"",,23537,"HFO","","","GEN CARGO"
3341,"",,13240,"HFO","JA","","PASSENGER"
3342,"",,6392,"HFO","","","GEN CARGO"
3343,"",,18897,"","GEEN","","GEN CARGO"
3344,"",,1941,"HFO","JA","","TUG"
3345,"",,4102,"HFO","","","GEN CARGO"
3347,"",,2206,"HFO","181 KW","","GEN CARGO"
3348,"",,2207,"","","","GEN CARGO"
3349,"",,970,"HFO","","","GEN CARGO"
4812,"",,485,"","","","COMBI"
4813,"",,970,"HFO"," "," ","FISHING"
4814,"",,1529,"HFO","","","GEN CARGO"
4067,"",,4489,"HFO","2 X ?","","GEN CARGO"
4068,"",,4928,"HFO","","","GEN CARGO"
4069,"",,3678,"","","","GEN CARGO"
4071,"",,26478,"HFO","","","TANKER"
4073,"",,0,"HFO","","","TANKER"
4074,"",,29422,"HFO","","","TANKER"
4075,"",,29420,"HFO","","","TANKER"
4076,"",,7282,"","","","BULK"
4077,"",,8495,"HFO","","","BULK"
4078,"",,0,"HFO","","","TANKER"
4079,"",,19196,"HFO","","","BULK"
4081,"",,19197,"HFO","","","TANKER"
4082,"",,5296,"","","","TANKER"
4083,"",,6914,"","","","BULK"
4084,"",,1839,"","","","GEN CARGO"
4085,"",,2795,"HFO","","","GEN CARGO"
4086,"",,2795,"HFO","","","GEN CARGO"
4087,"",,11768,"HFO","","","BULK"
4088,"",,6105,"HFO","","","GEN CARGO"
4089,"",,10297,"","","","BULK"
4091,"",,6105,"HFO","","","BULK"
4092,"",,6105,"","","","BULK"
4093,"",,10297,"HFO","","","BULK"
4094,"",,6105,"HFO","","","BULK"
4095,"",,8532,"HFO","","","BULK"
4096,"",,8495,"","","","BULK"
4097,"",,14931,"HFO","","","TANKER"
4098,"",,14789,"HFO","","","BULK"
4099,"",,14790,"","","","BULK"
4101,"",,0,"HFO","","","TANKER"
