ID	ZB_TYPE	SHIPNUMBER	SHIPNUMBER_TYPE	CALLSIGN	SHIPNAME	LENGTH	BEAM	MMSI_NUMBER	MAXIMUM_DRAUGHT	TONNAGE	CATEGORY
2	B	2327484	IVR		SUZANNA	86	9.5		26	1403	8010
3	B	2321854	IVR		HERMINA	110	11.4	244750786	35	3009	8010
4	B	6002430	IVR		SOMTRANS III	110	10.54	205041400	36	2987	8020
5	B	6004073	IVR		SOMTRANS XI	135	15	205085300	41	5790	8020
6	B	6001492	IVR		NAUTIEK	80	9.48	205204390	28	1506	8010
7	B	2323098	IVR		LAUWEN	110	11.48	205214890	36	3108	8010
8	B	6003660	IVR		SOMTRANS V	86	11.4	205238190	29	1606	8020
9	B	6000641	IVR		JEWEL	39	5.08	205257490	25	380	8010
10	B	6003254	IVR		KIMBERLEY	80	8.2	205258890	26	1139	8020
11	B	6002090	IVR		AVISO	70	8.24	205262190	25	758	8020
12	B	6002019	IVR		ARBON	85	9	205267790	33	1832	8020
13	B	6003762	IVR		GERSOM	80	9.02	205269390	27	1258	8010
14	B	6003670	IVR		COMUS	110	11.45	205278290	36	3021	8010
15	B	6000034	IVR		LUXOR	80	8.2	205279790	25	1080	8010
16	B	6001933	IVR		JELO	110	11.97	205285590	33	2993	8010
17	B	6001729	IVR		STEINDAMM	85	9.47	244810749	29	1634	8020
18	B	2207738	IVR		THIBO	12	8.62	205311990	18	0	8430
19	B	6004128	IVR		BOSCO	135	11.45	205328800	32	3940	8010
20	B	6003589	IVR		GUNA	135	12	205336090	33	3489	8010
21	B	6000931	IVR		LAGO	67	8.26	205337190	29	1128	8010
22	B	6003069	IVR		SOMTRANS IV	110	11.4	205340190	32	2494	8020
23	B	6003661	IVR		SOMTRANS IX	110	11.45	205348990	30	2679	8020
24	B	6003944	IVR		ARGUS	110	11.45	205368590	35	3027	8010
25	B	6003948	IVR		SOMTRANS X	135	15	205369090	35	5801	8020
26	B	6004185	IVR		VERSUS	110	11.45	205372990	36	3256	8010
27	B	6004274	IVR		HOUTLAND	110	11.45	205382490	36	3243	8010
28	B	6004275	IVR		CYMBA	110	11.4	205382590	32	2690	8010
29	B	6004256	IVR		LINJAD	110	11.4	205382990	31	2499	8010
30	B	6105006	IVR		PECUNIA	135	11.45	205391290	0	3919	8010
31	B	2319012	IVR		SPLENDOR	110	11.4		37	2600	8010
32	B	2327260	IVR		ALEXIA	110	11.45	205391990	41	3550	8020
33	B	2326864	IVR		SHELBY	110	11.45	205395590	0	3248	8010
34	B	6105037	IVR		ALASKA	110	11.4	205401290	35	2954	8020
35	B	6002903	IVR		DAKOTA	57	7.03	205418790	26	599	8020
37	B	6002533	IVR		RENE 19	83	9.5	205423290	26	919	8040
38	B	6002941	IVR		STAR BLENDER	65	7.06	205438890	25	735	8020
39	B	6002166	IVR		VIGO	69	9	205439590	33	1319	8020
40	B	2301695	IVR		DORADO	26	6.58	205446890	0	0	8430
41	B	6003772	IVR		MSC POOLSTER	110	11.4	205464990	34	3100	8010
42	B	6004279	IVR		ORCA	18.43	11.16	205474290	20	50	8430
43	B	6004267	IVR		BELUGA	15	8.31	205475190	19	0	8430
44	B	2312870	IVR		BRILLANT	64	9.07	244010005	16	0	8440
45	B	2324396	IVR		PIET HEIN	86	9.5	244010025	28	16	8440
46	B	2332583	IVR		DESPERADO	110	13.5	244010030	42	4228	8020
47	B	2327358	IVR		TURQUOISE	110	13.54	244010042	42	4221	8020
48	B	2205100	IVR		CALCIT 5	105	9.5	244010053	32	2159	8020
49	B	2324640	IVR		COMPROMIS	86	9.5	244010069	36	1849	8010
50	B	2325082	IVR		MYOSOTIS	70	7.45	244010082	32	1027	8010
51	B	2325946	IVR		A QUADRAAT	110	11.07	244010107	31	2507	8010
52	B	2327408	IVR		AMOUREUS	135	11.4	244010131	0	3905	8010
53	B	2206386	IVR		EXCELSIOR	21	4.76	244010175	12	0	8000
54	B	2323701	IVR		REINOD 1	15	3.92	244010190	20	0	8430
55	B	2316573	IVR		VOLTA	0	0	244010197	0	0	8000
56	B	2323703	IVR		REINOD 6	15	3.92	244010219	21	0	8430
57	B	2319631	IVR		VEERHAVEN VII	40	14.97	244010253	19	0	8430
58	B	2103791	IVR		BOREAS	13	3.95	244010298	0	0	8430
59	B	2316706	IVR		ORGANZA	34	5.63	244010299	12	146	8440
60	B	2316320	IVR		HELENA CORA	73	8.23	244010304	28	1085	8010
61	B	2313016	IVR		ENDEAVOUR	60	7.12	244010311	23	629	8010
62	B	2311027	IVR		BENJAMIN	82	8.2	244010313	26	1190	8020
63	B	2209785	IVR		ANNA VAN ORANJE	22	4.5	244010328	0	0	1850
64	B	2006004	IVR		KLAAS DE BOER	59	6.94	244010330	25	627	8020
65	B	2323692	IVR		RIVER QUEEN	110	11.4	244010349	16	0	8440
66	B	2319670	IVR		MARTENS 10	105	9.48	244010352	28	2042	8020
67	B	2311193	IVR		JANITA	67	8.2	244010391	26	898	8010
68	B	2332160	IVR		ANJELIERSGRACHT	86	10.5	244010413	30	1637	8020
69	B	2207495	IVR		DRIEBOND I	0	0	244010447	0	0	8430
70	B	2331137	IVR		RAPITARD	135	11.45	244010489	0	4215	8010
71	B	2330817	IVR		CARON	135	11.45	244010504	38	4217	8010
72	B	2327110	IVR		SOMBRA	110	11.45	244010511	39	3323	8020
73	B	2329474	IVR		COFELICA	110	11.45	244010517	36	3225	8010
74	B	2314125	IVR		SUNISHA	86	10	244010525	29	1637	8010
75	B	2314534	IVR		HEBO-CAT 11	26	5.94	244010568	0	144	8020
76	B	3170672	IVR		PIA	58	6.61	244010573	27	664	8010
77	B	2315007	IVR		JADI	73	8.26	244010591	26	1036	8010
78	B	3310439	IVR		SIENTJE	39	5.05	244010612	25	361	8010
79	B	3021301	IVR		MA LONDA	57	7.1	244010613	25	561	8010
80	B	2332487	IVR		MANUS	110	11.04	244010644	34	2625	8020
81	B	3030603	IVR		RIJNLAND 3	25	4.31	244010655	17	56	8010
82	B	2312273	IVR		MARIA S	76	7.26	244010665	32	928	8010
83	B	2323578	IVR		GIESSENSTROOM	110	11.4	244010675	36	3220	8020
84	B	2323389	IVR		TESSA	86	9.5	244010701	25	1272	8010
85	B	2309435	IVR		HENJA	17	4.68	244010705	0	0	8430
86	B	2307044	IVR		INTERNOS	67	8.2	244010706	25	940	8010
87	B	2326528	IVR		TITAN	110	13.5	244010716	42	4221	8020
88	B	2311156	IVR		TULLEMANS III	22	3.73	244010725	15	50	8020
89	B	2323469	IVR		LORENTZ	110	11.4	244010731	41	3548	8020
90	B	2313946	IVR		WESTCO	80	8.2	244010759	25	1104	8010
91	B	2304182	IVR		RAM	80	9.49	244010771	26	1377	8010
92	B	2315753	IVR		WOFRARI	57	7.15	244010772	25	660	8010
93	B	2300586	IVR		DE VRIENDSCHAP	0	0	244010775	0	67	8440
94	B	2309355	IVR		FIWADO 5	31	5.03	244010776	18	148	8020
95	B	2316105	IVR		RICHARD-V	83	8.42	244010791	25	1155	8010
96	B	2312712	IVR		MARTENS 7	28	4.78	244010803	20	130	8020
97	B	2329493	IVR		DEVOTION	10	5.05	244010814	14	0	8430
98	B	2319066	IVR		FIWADO 1	27	5.31	244010887	21	149	8020
99	B	2315151	IVR		SPIEGELGRACHT	55	6.64	244010898	21	500	8020
100	B	2323495	IVR		GALILEO	110	11.4	244010955	41	3548	8020
101	B	2001069	IVR		ZEEHOND	17	4.1	244010957	0	0	8430
102	B	2313624	IVR		MAARTJE	80	8.22	244010959	25	1101	8010
103	B	2005795	IVR		JOSEPHINE	13	3.93	244010963	14	0	8400
104	B	2315789	IVR		CON ZELO	80	8.21	244010965	26	1086	8010
105	B	2321558	IVR		DIKKY	11	3.15	244690540	0	0	8430
106	B	2201571	IVR		ANDREAS	21	4.2	244020016	15	29	8010
107	B	2314363	IVR		FAHRENHEIT	110	11.38	244020037	35	2850	8020
108	B	2326951	IVR		VLIJ	31	7.6	244020072	0	0	8440
109	B	2318787	IVR		CAPELLA	85	9.07	244020112	30	1404	8010
110	B	2329365	IVR		STELLA MARIS	110	10	244020116	0	2402	8010
111	B	3110571	IVR		IMPALA	80	8.2	244020118	27	1173	8010
112	B	2318017	IVR		KELVIN	86	11.42	244020139	34	2252	8020
113	B	2327380	IVR		VALENCIA	110	13.54	244020144	42	4221	8020
114	B	2330152	IVR		UNION XII	110	11.45	244020207	27	1766	8040
115	B	2319238	IVR		PASCAL	86	11.4	244020362	34	2170	8020
116	B	2313072	IVR		JANTINE	73	8.2	244020386	27	1099	8010
117	B	2325856	IVR		KILSTROOM	105	10.5	244020389	32	2486	8010
118	B	2318153	IVR		PASTEUR	110	11.02	244020409	30	2164	8020
119	B	2318154	IVR		CURIE	110	11.03	244020419	29	2164	8020
120	B	2318245	IVR		BERNISSESTROOM	110	11.4	244020449	37	3169	8020
121	B	2320297	IVR		MARKSTROOM	110	11.4	244020463	32	2664	8020
122	B	7001704	IVR		AURORA	105	11.61	244020475	16	0	8440
123	B	2320298	IVR		HARTELSTROOM	90	11.4	244020488	32	2127	8020
124	B	2321258	IVR		PALADIN	85	9.5	244020530	29	1465	8020
125	B	2317863	IVR		KRAAK	15	3.12	244020534	0	0	8400
126	B	2326315	IVR		NOORTSTROOM	105	9	244020589	31	2006	8020
127	B	2329184	IVR		TOURMALIJN	89	15.5	244020675	13	704	8440
128	B	2329697	IVR		INTERMEZZO	110	11.4	244020684	38	3204	8020
129	B	2316225	IVR		AMSTELSTROOM	90	11.44	244020692	30	1977	8020
130	B	2316185	IVR		WAALSTROOM	80	9.53	244020700	26	1106	8020
131	B	2326034	IVR		ELLY	135	11.45	244020707	33	3483	8010
132	B	2007287	IVR		ZAANSTROOM	90	9.5	244020737	25	1295	8020
133	B	2316341	IVR		GEULSTROOM	80	9.53	244020773	26	1113	8020
134	B	2315713	IVR		MELVIN	67	7.25	244020779	27	856	8010
135	B	7001831	IVR		SERENITY	110	11.4	244020814	16	0	8440
136	B	2327359	IVR		VANCOUVER	110	13.5	244020876	42	4236	8020
137	B	2311711	IVR		REINOD 15	70	7.24	244020916	28	939	8010
138	B	2205138	IVR		SPRINGER	80	9.5	244020924	30	1569	8010
139	B	2204773	IVR		VOORWAARTS VOORWAART	27	5.5	244020933	0	0	1850
140	B	2330277	IVR		WESTSTELLINGWERF	110	11.45	244020943	33	2755	8020
141	B	2325024	IVR		FILAGRAM	67	7.1	244030033	0	714	8010
142	B	2317827	IVR		OKUPOROS	70	7.27	244030043	26	860	8020
143	B	2327301	IVR		RIVER ROYALE	110	11.4	244030083	0	0	8440
144	B	2200116	IVR		VREDE	31	5	244030166	14	0	8440
145	B	2005071	IVR		ORANJE	17	4.31	244030223	0	0	8430
146	B	2310726	IVR		MOSHULU	39	5.07	244030247	24	356	8010
147	B	6003971	IVR		DEO FAVENTE	86	10	244030275	30	1617	8010
148	B	2318552	IVR		ENGELINA 2	70	7.25	244030277	28	1015	8010
149	B	2202363	IVR		MERCATOR	23	5	244030299	10	0	1850
150	B	2315220	IVR		LYKO 3	80	8.2	244030396	25	1095	8010
151	B	2329698	IVR		NIALA	110	11.45	244030401	36	3212	8010
152	B	3050356	IVR		VERANDERING	24	5.2	244030421	8	0	1850
153	B	2329923	IVR		SENTO	110	11.45	244030516	37	3314	8010
154	B	2329306	IVR		AZOLLA	135	17.2	244030549	0	6490	8010
155	B	2314004	IVR		PRESTO	57	7.25	244030575	26	699	8010
156	B	2321624	IVR		HOLLANDSCH DIEP	35	6.05	244740618	10	21	8440
157	B	2318931	IVR		ELISABETH	73	8.27	244030666	28	1150	8010
158	B	2330094	IVR		ANTONIE	110	11.45	244030668	35	3008	8010
159	B	2100931	IVR		TROLEK	23	4.26	244030717	17	79	8020
160	B	2313745	IVR		ARGO	73	8.16	244030852	29	987	8010
161	B	2324548	IVR		SYNTHESE 10	86	11.4	244030857	33	2001	8020
162	B	2324397	IVR		WITTE DE WITH	0	0	244030940	16	16	8440
163	B	2204458	IVR		TYCHO	85	9.32	244030952	25	1293	8010
164	B	2313847	IVR		SECURITAS	85	9.32	244050003	27	1414	8010
165	B	2329462	IVR		LANSINGH	86	10	244050205	32	1810	8010
166	B	2317798	IVR		MARINIER	108	11.4		36	3177	8010
167	B	6105000	IVR		APHRODITE	110	11.45	244050207	0	3164	8020
168	B	2200352	IVR		KAY	41	6.15	244050276	24	351	8010
169	B	3011317	IVR		BETA CURA	38	6.6	244050325	22	291	8010
170	B	2307774	IVR		ASTRID	98	10	244050337	32	2010	8010
171	B	2201827	IVR		ONTDEKKING	22	4.45	244050540	7	0	1850
172	B	2318672	IVR		SO LONG	39	5.07	244050593	25	379	8010
173	B	2325185	IVR		JANNES VAN CAMPEN	29	5.76	244050862	22	0	1850
174	B	3031502	IVR		THE JAZZ	24	4.18	244060075	0	0	8000
175	B	2316064	IVR		EMMA	105	9.48	244690580	31	2181	8010
176	B	2319078	IVR		PAULINE	105	9.04	244730460	30	2006	8010
177	B	2311358	IVR		TARKA	80	8.17	244060113	30	1386	8010
178	B	3051263	IVR		DISPONIBEL	24	5.02	244060162	19	0	1850
179	B	2311673	IVR		ZAGRI 1	97	11.37	244060306	34	2440	8010
180	B	2300961	IVR		WATERMAN	25	4.21	244780793	0	0	8000
181	B	2309581	IVR		DRIEBOND III	13	3.8	244060394	17	0	8400
182	B	2320473	IVR		DE JONGE FRANS	31	5.6	244060626	13	34	8010
183	B	2101755	IVR		DERRA	33	6	244060641	18	38	8440
184	B	2318659	IVR		WILHELMINA II	110	12.54	244060720	42	4651	8150
185	B	2328752	IVR		DAMINA K	110	11.45	244060767	35	3057	8010
186	B	2200981	IVR		NOOIT GEDACHT 2	42	5.43	244060777	22	300	8010
187	B	2313057	IVR		LYDIA	70	7.24	244060788	26	834	8010
188	B	2204014	IVR		SCALDIS III	42	7.5	244060818	19	53	8000
189	B	2327351	IVR		FIDENTE	105	10.5	244060828	32	2394	8010
190	B	2201498	IVR		ANIMO	27	5	244060838	0	0	1850
191	B	2326700	IVR		IDUNA II	110	11.4	244060858	38	3156	8020
192	B	2327638	IVR		MOBI DIK	16	4.85	244060859	16	0	8000
193	B	2311867	IVR		RIMAR	39	5.07	244060915	25	371	8010
194	B	2324793	IVR		FIXUT MARIS	135	11.45	244060924	0	3502	8010
195	B	2314461	IVR		WATERBOOT 12	33	7.57	244690002	0	330	8020
196	B	2011755	IVR		FOXTROT	14	3.66	244065098	18	0	8000
197	B	2328823	IVR		CYGNUS	110	11.45	244750760	34	3020	8010
198	B	2208491	IVR		ZEEROB	21	5.4	244070169	27	0	8440
199	B	3250088	IVR		ELIANE	36	5.86	244070174	15	135	8010
200	B	2317300	IVR		PETER	48	6.38	244070184	23	390	8020
202	B	2329015	IVR		SWITZERLAND II	100	11.2	244070301	14	0	8440
203	B	2310182	IVR		AQUARIUS	56	8.2		28	842	8020
204	B	2324053	IVR		CON AMORE	81	10	244070355	30	1633	8010
205	B	2328856	IVR		OPHIR	110	11.45	244070386	32	2600	8010
206	B	2308648	IVR		ONRUST	27	5.8	244070400	12	0	1850
207	B	2201286	IVR		TROUWE HULP	20	4	244740017	8	0	1850
208	B	2206261	IVR		TIJDSTROOM	15	4.02	244070556	17	0	8450
209	B	3150447	IVR		LA PROVIDENCE	73	7.6	244070736	29	1006	8010
210	B	2320666	IVR		RIVER AMBASSADOR	110	11.4	244070741	13	0	8440
211	B	3270481	IVR		GRETHA VAN HOLLAND	38	5.2	244070748	16	38	8440
212	B	2321750	IVR		RIVER BARONESS	110	11.4	244070771	13	0	8440
213	B	2325078	IVR		RIVER PRINCESS	110	11.4	244070801	16	0	8440
214	B	2329407	IVR		JURA	135	14.2	244070846	36	5186	8010
215	B	2009355	IVR		RPA 14	0	0	244070903	0	0	8000
216	B	2329651	IVR		ALLIANCE	135	11.45	244070940	0	4005	8010
217	B	2329316	IVR		COMIENZO	135	15	244070991	40	5695	8010
218	B	2307653	IVR		WATERBOOT 11	25	5.64	244670999	23	149	8020
219	B	2326516	IVR		NOORDPOOL	110	13.5	244085775	42	4249	8020
220	B	2304217	IVR		OSTREA	45	5.8	244090050	24	377	8010
221	B	2309510	IVR		AURORE	53	6.6	244090260	25	549	8010
222	B	2318072	IVR		ACCEPI	80	9	244090276	27	1389	8010
223	B	2327079	IVR		DROBETA	108	10.5	244090568	35	2736	8020
224	B	2318608	IVR		RP AMSTERDAM	110	10.5	244090632	35	2888	8020
225	B	2229859	IVR		UQ 32	16	5.5	244090677	0	0	1850
226	B	2327276	IVR		VLIELAND	68	17.25	244090796	26	0	8000
227	B	3150739	IVR		RPA 2	21	5.6	244090901	11	0	8450
228	B	2309715	IVR		AALTJE	20	5.26	244090938	21	0	8430
229	B	2605713	IVR		NOORDERLICHT	46	6.5	244091000	0	0	1850
230	B	2009375	IVR		ANCOR	16	4.5	244100006	0	0	8400
231	B	2312501	IVR		CASPAR	79	8.2	244100080	27	1191	8020
232	B	2014989	IVR		PARADISO	22	4.01	244100114	0	0	8440
233	B	2328761	IVR		SERENADE 2	110	11.4	244790570	0	0	8440
234	B	2317726	IVR		ASTURIAS	80	8.99		26	1269	8010
235	B	2325828	IVR		MARAJO	135	17.4	244100223	36	5407	8030
236	B	2312972	IVR		CATHARINE W	73	7.27	244100224	27	950	8010
237	B	2329390	IVR		RENOVATIE	135	14.2	244100272	40	5540	8010
238	B	2301455	IVR		DUSKY	84	9	244100307	27	1451	8010
239	B	2315307	IVR		DANMARIS	55	6.63	244100376	26	661	8010
240	B	2008692	IVR		JACOBA	19	4.59	244100451	6	56	8010
241	B	2717751	IVR		WITTE OLIFANT	19	9.5	244100511	35	0	1850
242	B	2318642	IVR		SCHAUENBURG	110	9.5	244100549	28	2087	8010
243	B	2326169	IVR		FAVORIETO	23	5.1	244100590	0	15528	8010
244	B	2322010	IVR		QUO VADIS	80	9	244100621	30	1493	8010
245	B	2606926	IVR		THALES	29	6.68	244100731	12	0	8440
246	B	2205406	IVR		ARENDSWOUD II	0	0	244100772	0	11	8440
247	B	2327536	IVR		CAZADOR	105	9.04	244100851	28	1784	8010
248	B	3110605	IVR		PROVOCATIO	85	9.5	244660462	28	1499	8010
249	B	2325351	IVR		VADASZ	110	9.6	244100875	27	1945	8010
250	B	2326224	IVR		INVOTIS II	42	9.44	244100955	27	550	8010
251	B	2311269	IVR		TENAX	62	6.7	244110011	27	752	8010
252	B	3051726	IVR		ALBERT R	22	4.92	244110012	22	0	8430
253	B	3160055	IVR		MOEKE ZORN	27	5	244110083	0	0	1850
254	B	2326953	IVR		SERENADE 1	110	11.4	244110186	0	0	8440
255	B	2318929	IVR		FRITZ	67	8.2	244110204	25	881	8010
256	B	2004713	IVR		INA	68	6.61	244110333	24	588	8020
257	B	2102282	IVR		SUCCES	20	4.6	244110508	16	0	8440
258	B	2317195	IVR		RO RO 2	105	11.4	244110527	21	966	8150
259	B	2101127	IVR		ANJA	58	6.58		23	605	8010
260	B	2210879	IVR		LIBELLE	18	3.32	244110703	10	0	8440
261	B	2104808	IVR		VIOS 3	11	3.85	244110794	6	0	8400
262	B	2313919	IVR		WALCHEREN	85	8.5	244110812	37	1806	8010
263	B	2007108	IVR		GEERTJE	73	7.24	244110814	26	952	8010
264	B	2319936	IVR		ZWAANTJE	40	5.61	244110831	12	26	8440
265	B	3040681	IVR		NOORDERZON	35	5.62	244110926	14	30	8440
266	B	2718246	IVR		POOLSTER	21	5.46	244130026	28	0	8000
267	B	2318158	IVR		CAPIO	67	7.1	244130028	23	721	8010
268	B	2315764	IVR		ESMERALDA	90	11.2	244130124	15	0	8440
269	B	2317735	IVR		TIAMO	105	9.51	244130211	33	2308	8010
270	B	2312806	IVR		JAN MARINUS	67	8.19	244130277	25	889	8010
271	B	2318540	IVR		YOEP	84	10.2	244130278	26	1400	8010
272	B	2315940	IVR		DAYER	83	8.2	244130279	28	1270	8010
273	B	2316063	IVR		ZEUS	55	7.48	244130280	26	862	8010
274	B	2310489	IVR		ANNE	85	9.49	244130282	26	1265	8010
275	B	2321851	IVR		AMICITIA	86	10.5	244130285	29	1789	8010
276	B	2317331	IVR		BETTMERALP	67	7.48	244130289	27	810	8010
277	B	2316625	IVR		RECTE SPERO	73	8.18	244130292	28	1126	8010
278	B	2328190	IVR		PRINSES AMALIA	30	8	244130293	0	0	8160
279	B	2305085	IVR		DAGERAAD 1	20	5.5	244130297	23	0	8430
280	B	2318503	IVR		IDUNA	80	8.2	244130302	25	1096	8010
281	B	3050351	IVR		ONDERNEMING	36	5	244180046	0	0	8000
282	B	2007930	IVR		AMBIVALENT	62	6.57	244790001	25	669	8010
283	B	2007795	IVR		AVANTI D	14	4.2	244180091	18	0	8430
284	B	3030922	IVR		FATA MORGANA	38	6.29	244180099	24	289	8010
285	B	2005579	IVR		TOMMY COR	39	5.03	244180144	25	355	8010
286	B	2312814	IVR		FORTUNA	61	7.3	244180221	23	620	8010
287	B	2314589	IVR		ANDA	70	7.23	244180237	26	887	8010
288	B	2100522	IVR		KRAANVOGEL	41	6.3	244180247	23	280	8010
289	B	2316752	IVR		CHASSEUR	39	5.07	244180268	25	352	8010
290	B	2309833	IVR		TRINTEL	67	8.26	244180274	26	909	8010
291	B	2004191	IVR		JAN VAN CUIJK	50	7.52	244180280	19	0	8440
292	B	2204489	IVR		NOORDERLICHT	80	8.18	244180329	25	1104	8010
293	B	2331243	IVR		DEO GRATIAS	110	11.45	244180386	37	3225	8010
294	B	2315217	IVR		METANOIA	80	8.2	244180471	27	1168	8010
295	B	2313724	IVR		VLIELAND	110	11.48	244180624	29	2629	8010
296	B	2315424	IVR		WAALPLUS	32	5.62	244180626	20	149	8020
297	B	2206857	IVR		NOORDWESTHOEK 2	0	0	244180627	0	0	8441
298	B	2305891	IVR		WATERWOLF	36	6	244180952	15	0	1850
299	B	2315700	IVR		SEANEAST	15	4.2	244182000	19	0	1850
300	B	2205424	IVR		JAN VAN GENT	43	10.06	244199000	0	0	8000
302	B	2321280	IVR		DENICK	40	5.28	244210369	7	0	8440
303	B	2323163	IVR		VOLHARDING	110	10.49	244210547	32	2758	8010
304	B	2009573	IVR		FORTUNA	19	5	244210656	18	0	1850
305	B	2307949	IVR		NEPTUNUS 7	14	4.31	244210747	7	0	8440
306	B	2001872	IVR		FIGHTER	67	8.2	244210926	26	903	8010
307	B	2605944	IVR		APHRODITE	31	6.6	244231000	19	0	1850
308	B	2316484	IVR		FIDUCIE	110	10.06	244250233	36	2844	8010
309	B	2008343	IVR		FROUKE	18	3.75	244250434	11	0	1850
310	B	2204413	IVR		DRIEBOND IV	18	4.56	244250463	0	0	8430
311	B	2321076	IVR		REMAR 4	21	3.98	244250468	19	77	8020
312	B	2307833	IVR		OLA	67	8.2	244250521	0	863	8010
313	B	2001873	IVR		NAUTA	67	8.2	244250539	27	1002	8010
314	B	2306277	IVR		MYSTIC	67	8.18	244250571	27	999	8010
315	B	2103573	IVR		MAZZEL	39	5.05	244250578	25	360	8010
316	B	2315192	IVR		KERIZEL	39	5.09	244250579	27	413	8010
317	B	2303229	IVR		DOLFIJN	27	4.32	244250595	13	0	1850
318	B	2306504	IVR		MARTIN	16	4.21		0	0	8430
319	B	2007155	IVR		JOHANN STRAUSS	17	4.07	244250601	14	10	8440
320	B	2010871	IVR		W A MOZART	18	4.06	244250602	15	0	8440
321	B	2010876	IVR		CHARLES GOUNOD	18	4.06	244250603	15	9	8440
322	B	2007157	IVR		LUDWIG VAN BEETHOVEN	18	4.06	244250604	15	10	8440
323	B	2007323	IVR		FRANZ LEHAR	18	4.06	244250605	15	10	8440
324	B	2006209	IVR		JABO	86	9.27	244250643	33	1613	8010
325	B	2301337	IVR		MARCO	47	6.52	244250674	21	403	8010
326	B	2315902	IVR		ONDERNEMING	24	5	244250699	14	0	1850
327	B	2204040	IVR		MOA	75	8.2	244250702	25	1043	8010
328	B	2008955	IVR		AMSTEL GLORY	21	4.21	244250729	14	0	8440
329	B	2012168	IVR		BYZANTIUM	22	4.3	244250730	15	0	8440
330	B	2008514	IVR		FLYING DUTCHMAN	23	4.31	244250731	11	0	8440
331	B	2010682	IVR		LIDO	22	4.34	244250732	14	0	8440
332	B	2006079	IVR		HORIZON	17	3.4	244250734	18	0	8440
333	B	2314561	IVR		MARTINA	86	9.5	244250751	29	1778	8010
334	B	2317804	IVR		STATICE	0	0	244250756	0	0	8000
335	B	2312448	IVR		JOLLING	67	8.2	244250763	26	910	8010
336	B	3051619	IVR		AB OVO	39	5.08	244250773	25	371	8010
337	B	2313467	IVR		REINA	61	7.05	244250809	26	680	8010
338	B	2320789	IVR		AEOLUS	85	9.48	244250811	27	1375	8010
339	B	2103954	IVR		VENTJAGER	59	6.82	244250844	23	478	8010
340	B	2315042	IVR		READY 2 GO	73	8.26	244250866	26	971	8010
341	B	2321479	IVR		ERIK V	85	8.2	244250908	26	1254	8010
342	B	2316627	IVR		HEKTREK	13	3.5	244260010	0	0	8400
343	B	2300096	IVR		JURALIS	86	11.07	244260064	31	1994	8010
344	B	2324931	IVR		ZEFIROS	70	8.2	244260087	29	1026	8010
345	B	3010316	IVR		MIRO	26	4.5	244260109	0	0	8440
346	B	2323479	IVR		PRINCEHAVEN	48	6.35	244260270	12	23	8440
347	B	2202166	IVR		ANNA MAGRIETHA	26	5.1	244260336	12	0	1850
348	B	3230225	IVR		DRIEBOND II	12	3.54	244260428	0	0	8430
349	B	2006023	IVR		KOERIER	8	2.72	244260503	15	0	8400
350	B	2304637	IVR		COMPAEN	32	5.4	244260548	13	0	8440
351	B	3310522	IVR		WILLEM VAN ORANJE	16	4.28	244780708	12	0	8440
352	B	3051380	IVR		AMSTELSTROOM	10	2.79	244260765	15	0	8400
353	B	2201305	IVR		DE TIJD	25	4.62	244260825	12	23	8440
354	B	2001857	IVR		ANJABE	13	3.61	244260845	0	0	8430
355	B	3160112	IVR		EGLANTIER	26	5.3	244270177	16	0	1850
356	B	2313917	IVR		INTERMEZZO	74	8.16	244270367	31	1098	8010
357	B	2322429	IVR		MOBY DICK	76	11.39	244270652	25	2322	8170
358	B	3290019	IVR		BARRACUDA	35	5.05	244270707	0	196	8010
359	B	2011340	IVR		PRINS HENDRIK	47	6.11	244270742	12	0	8440
360	B	3030195	IVR		IJZEREN KRAAK	27	5	244270908	0	0	1850
361	B	2202000	IVR		HA 7	33	5.1	244284000	18	148	8010
362	B	3030094	IVR		MORGANA	35	6.64	244290095	22	0	1850
363	B	2304360	IVR		HARJA	50	6.6	244290152	26	602	8010
364	B	2318420	IVR		ESPERA 110	76	11.4	244290155	40	2835	8150
365	B	3011994	IVR		DEMPSEY	20	4.1	244290160	9	14	8010
367	B	3010751	IVR		ZWERVER	39	6.4	244391037	19	0	1850
368	B	2717141	IVR		KREEFT	53	11.4	244398000	27	0	8000
369	B	2006875	IVR		LOUISE VAN DER WEES	25	6.4	244509000	29	0	8400
370	B	2605809	IVR		IDE MIN	39	6.5	244630780	0	0	1850
371	B	2005907	IVR		VARIATIE	62	6.6	244780426	27	752	8010
372	B	2327350	IVR		VENRAY	110	13.45	244615694	42	4198	8020
373	B	3110488	IVR		LUCAS F	50	6.64	244615711	25	529	8010
374	B	2001211	IVR		ROMA	52	6.62	244615716	23	492	8010
375	B	2316097	IVR		UNDINE II	63	7.52	244615725	27	786	8010
376	B	2329951	IVR		INVOTIS III	42	9	244615748	30	450	8010
377	B	2102017	IVR		BEANTRA	36	6	244615771	11	0	1850
378	B	2103445	IVR		SMIT WAALHAVEN 2	10	3.25	244615774	0	0	8400
379	B	7001839	IVR		DA VINCI	105	11.4	244615820	15	434	8440
380	B	2329919	IVR		VEERMAN	110	11.45	244615886	37	3220	8020
381	B	2330126	IVR		SYRACUSA	110	11.45	244615899	36	3237	8010
382	B	2011971	IVR		BLUE STAR	19	4.22	244615923	13	0	8440
